scenario,mean_fulfillment_rate,mean_avg_worker_earnings,total_platform_margin,mean_service_quality_score,mc_run
balanced_incentive,0.9294851055743695,39.911499419778245,59638051.00240201,0.9012388901768495,1
baseline,0.8219002929649188,37.90332694009186,50190744.892640345,0.7335776038808146,1
higher_base_pay,0.8787632389689232,40.95389199910605,47381633.391925365,0.8208689604779332,1
peak_bonus,0.8929526246632812,38.033635582843836,50858219.301494114,0.8617528932915085,1
surge_pricing,0.7223258682574858,48.156991212068725,61692698.9147157,0.5517879127662445,1
balanced_incentive,0.8040498699285682,38.94650339739131,48267928.53733941,0.717926267416408,2
baseline,0.6218061866316947,36.4082248910835,34730262.429881394,0.3437137378235226,2
higher_base_pay,0.7935709511474841,39.43856460095134,39792538.673091605,0.6825541656155071,2
peak_bonus,0.6799126666547705,36.746552050994964,35443554.497700624,0.44381191689799704,2
surge_pricing,0.952241926446012,42.31280914445604,82877619.14470643,0.9376044732827351,2
balanced_incentive,0.9298626322448336,44.576302695489666,58683622.70358314,0.9182232944347711,3
baseline,0.7178302796739546,42.57260670466605,42015811.11167975,0.5231777380315493,3
higher_base_pay,0.901298781845305,45.07832699478212,47512424.89355539,0.8744401408451828,3
peak_bonus,0.7889107081042962,42.94988775751608,43624661.34403591,0.680800348396748,3
surge_pricing,0.7909596596175029,51.98616870746263,69011590.29707445,0.6686285160545934,3
balanced_incentive,0.8257727485427635,36.47249947246343,52034844.21215301,0.7241516474419406,4
baseline,0.8168766718309749,34.94687342277357,49777120.02974325,0.7238091635915621,4
higher_base_pay,0.7840111513411799,37.1547924390122,41663254.88989432,0.6551826722301295,4
peak_bonus,0.888400628527655,35.11770314552075,50899176.04221001,0.8553057410047522,4
surge_pricing,0.5112878938816343,46.79771365283907,38628049.60565443,0.29287430974453543,4
balanced_incentive,0.9012361029710095,49.20979102111356,57952113.33424729,0.8521646934695684,5
baseline,0.9311446155372295,43.596926787546614,60145332.461249836,0.9160329995517882,5
higher_base_pay,0.8784632206131239,51.54716477370788,47896089.45885337,0.8140469267212064,5
peak_bonus,0.9598043595929009,43.60120141817512,56836028.121546544,0.951602125304311,5
surge_pricing,0.8274110161277096,60.50729464075305,72469986.15197556,0.731763689937508,5
balanced_incentive,0.9362838514817241,45.548969475599634,60290001.635258734,0.9121290454967497,6
baseline,0.8866070020579809,41.53284865591583,55557055.60227706,0.8467322264256403,6
higher_base_pay,0.9034005143061896,46.902542379815976,48933725.563812725,0.8620366361242472,6
peak_bonus,0.9400674732883384,41.93994189870589,54736684.21498134,0.9293962365471254,6
surge_pricing,0.8042126196675532,54.93098120995977,70080733.10360156,0.6898053493659517,6
balanced_incentive,0.8897030069937906,47.541158971182846,56999136.43346591,0.8320236476901928,7
baseline,0.9317575562938574,43.58008045045286,60016708.820089504,0.9174100863793963,7
higher_base_pay,0.8662036794954991,49.893406650321104,46995628.28633943,0.7953337912342425,7
peak_bonus,0.9639172738602927,43.075892643788606,57058884.96111371,0.9577711677874174,7
surge_pricing,0.8379246130732734,56.81515570788858,73827008.30935165,0.7442977800369087,7
balanced_incentive,0.8805499398584361,45.48266237593479,56344704.27295437,0.8190053930404828,8
baseline,0.9353181784333553,41.33785011955144,60200114.95635978,0.9226947966607594,8
higher_base_pay,0.8444620448868483,47.5171178918662,45612389.99030646,0.7577825355520367,8
peak_bonus,0.9693606575633688,41.18294189129163,57496871.84896607,0.9654166011631294,8
surge_pricing,0.7568652599507899,55.94610311249324,65023771.38146665,0.6055532529708947,8
balanced_incentive,0.9351013579868904,51.47917743544469,60392497.20942383,0.9140950919133354,9
baseline,0.9411987957133998,45.875655357062314,61193030.789576575,0.9304803748563939,9
higher_base_pay,0.9273620957185972,54.02365482952461,50699697.524176285,0.9022754923252899,9
peak_bonus,0.9558975654860448,45.25110045101346,56659683.46686396,0.9477477981462913,9
surge_pricing,0.9553048433380078,57.101437852332985,84381391.13924222,0.9374612514594561,9
balanced_incentive,0.8644307677217562,39.133532605685616,55172067.96967469,0.7989028470123528,10
baseline,0.9178408604160939,36.32507206204473,58646290.24254647,0.8988547784570112,10
higher_base_pay,0.8322149957042054,40.61426371198235,44956926.01728182,0.7424244017176097,10
peak_bonus,0.958881358978102,35.86837983600481,56494120.963889726,0.9541912025386539,10
surge_pricing,0.7824098715236597,48.095371302496716,67652629.8732555,0.6505043459271672,10
balanced_incentive,0.9246790956145328,39.09603770658528,58354718.54599588,0.9113410379524582,11
baseline,0.694836262743741,38.01065746276211,40254005.00951466,0.47383139211758174,11
higher_base_pay,0.8842947372454186,39.491783729477305,46712474.88216052,0.8459759001206141,11
peak_bonus,0.7777331342655462,38.137647119163354,42552349.36240735,0.6497630742455076,11
surge_pricing,0.6878792957585128,45.997055821276646,58551047.092459165,0.5122726169693692,11
balanced_incentive,0.7185545793652409,45.692725100363035,41953617.35818857,0.5265614592953546,12
baseline,0.47857924872594354,43.27549417747326,24658946.211577907,0.21652873093587302,12
higher_base_pay,0.7153345301445823,46.02425537323803,34662687.40370988,0.5176425583248538,12
peak_bonus,0.5444126940514339,43.77114989699615,27114534.022105437,0.2635712369362159,12
surge_pricing,0.9241175928514174,47.447730039261714,80503012.78133057,0.8880161481041001,12
balanced_incentive,0.9208241594021724,46.06350421852037,59165592.85559095,0.8972865521266049,13
baseline,0.9212563527961345,41.54661267227315,58562549.73630945,0.8994454371696832,13
higher_base_pay,0.8871457219939385,47.273341901638794,47851185.9435399,0.8471685104740497,13
peak_bonus,0.9646588290996633,42.05162097567416,57084337.916967355,0.9609027684856152,13
surge_pricing,0.8354552502194323,55.702751973942725,72934050.60354029,0.74559294737504,13
balanced_incentive,0.9403112492468604,45.16453074641636,60387100.06570033,0.9228202240468767,14
baseline,0.8663558950604905,40.149529042003245,53860094.60818192,0.8136086079439128,14
higher_base_pay,0.9172019231864421,46.05948139182761,49528852.38490665,0.8909082505166803,14
