scenario,total_demand,total_fulfilled,total_unfilled,overall_fulfillment_rate,avg_worker_earnings,avg_service_quality,total_platform_margin,avg_utilization
surge_pricing,52815437,43825930.02217552,8989506.977824477,0.8297939487308515,53.93688147617945,0.7316745797112651,394433370.1995797,0.7921975847110962
balanced_incentive,58449631,54355982.18319879,4093648.816801212,0.929962794516167,46.418175103546474,0.9208022381394927,327637280.0022697,0.8095107478824607
peak_bonus,59630323,52340007.55321058,7290315.446789424,0.8777414731295449,43.81162347940087,0.8790891410129033,285359906.2355098,0.8516449235034145
baseline,59630323,47250072.38342748,12380250.616572525,0.7923833044377016,43.64038029135638,0.7772435450355626,283500434.3005648,0.8516449235034145
higher_base_pay,59310898,52259807.13347097,7051090.86652903,0.8811164372097514,47.35062120746608,0.8633162712689663,261299035.66735485,0.8101499525765397
